City,Country,Temperature,Max Temp,Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude
Bila Tserkva,UA,61.29,61.29,77,99,10.85,49.8094,30.1121
Ji’an,CN,77.23,77.23,90,30,3.51,27.1172,114.9793
East London,ZA,51.21,51.21,66,45,21.14,-33.0153,27.9116
Port Hardy,CA,57.13,57.13,86,96,5.75,50.6996,-127.4199
Yellowknife,CA,71.29,71.29,59,84,8.39,62.456,-114.3525
Tual,ID,79.68,79.68,79,100,17.38,-5.6667,132.75
Palmer,US,77.63,80.67,54,40,1.01,42.1584,-72.3287
Rikitea,PF,73.09,73.09,58,26,14.97,-23.1203,-134.9692
Castro,BR,51.62,51.62,59,6,1.74,-24.7911,-50.0119
Beringovskiy,RU,54.14,54.14,66,98,2.44,63.05,179.3167
Mobaye,CF,72.88,72.88,85,100,1.95,4.319,21.1786
Oistins,BB,82.49,82.49,74,40,18.41,13.0667,-59.5333
Qidong,CN,80.98,80.98,84,20,14.0,31.8128,121.6561
Port Macquarie,AU,46.38,47.89,63,5,8.03,-31.4333,152.9167
Port Elizabeth,ZA,44.1,44.1,74,82,28.36,-33.918,25.5701
Petropavlovsk-Kamchatskiy,RU,63.19,63.19,82,20,2.24,53.0452,158.6483
Hualmay,PE,66.42,66.42,74,19,9.91,-11.0964,-77.6139
Hidas,HU,62.37,62.37,57,13,4.29,46.2568,18.4954
Goundam,ML,97.63,97.63,32,92,12.41,16.4145,-3.6708
São José da Coroa Grande,BR,75.2,75.2,83,47,11.34,-8.8978,-35.1478
Ust'-Kan,RU,52.21,52.21,89,20,1.63,50.9276,84.761
Namatanai,PG,80.85,80.85,79,64,4.5,-3.6667,152.4333
Santa Catalina,PH,79.93,79.93,86,98,12.39,9.3337,122.8637
Qaanaaq,GL,38.12,38.12,99,100,12.71,77.484,-69.3632
Kaitangata,NZ,46.92,46.92,73,91,8.16,-46.2817,169.8464
Mataura,NZ,43.48,43.48,95,100,2.77,-46.1927,168.8643
Indiaroba,BR,70.57,70.57,89,1,4.18,-11.5192,-37.5117
Jamestown,US,69.94,72.99,56,20,10.36,42.097,-79.2353
